,ranking,song_title,Artist_Name
0,1,TEXAS HOLD 'EM,Beyoncé
1,2,Lose Control,Teddy Swims
2,3,Beautiful Things,Benson Boone
3,4,Flowers,Miley Cyrus
4,5,Turn the Lights Back On,Billy Joel
5,6,Don't Let the Old Man In,Toby Keith
6,7,Lovin On Me,Jack Harlow
7,8,Selfish,Justin Timberlake
8,9,Sorrys & Ferraris,Polo G
9,10,TEXAS HOLD 'EM,Beyoncé
10,11,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
11,12,Made For Me,Muni Long
12,13,Houdini,Dua Lipa
13,14,Training Season,Dua Lipa
14,15,Fast Car,Luke Combs
15,16,Fast Car,Tracy Chapman
16,17,Live Like You Were Dying,Tim McGraw
17,18,Save Me,Jelly Roll
18,19,Let's Go,Key Glock
19,20,Yeah! (feat. Lil Jon & Ludacris),USHER
20,21,Lil Boo Thang,Paul Russell
21,22,Cruel Summer,Taylor Swift
22,23,16 CARRIAGES,Beyoncé
23,24,Where the Wild Things Are,Luke Combs
24,25,Until I Found You,Stephen Sanchez
25,26,Need a Favor,Jelly Roll
26,27,Country's Cool Again,Lainey Wilson
27,28,In Case You Didn't Know,Brett Young
28,29,Spicy Margarita,Jason Derulo & Michael Bublé
29,30,You Are the Reason,Calum Scott
30,31,"yes, and?",Ariana Grande & Mariah Carey
31,32,Three Little Birds,Bob Marley & The Wailers
32,33,Until I Found You (Em Beihold Version),Stephen Sanchez & Em Beihold
33,34,Powerful Women,Pitbull & Dolly Parton
34,35,Water,Tyla
35,36,White Horse,Chris Stapleton
36,37,Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor
37,38,Should've Been a Cowboy,Toby Keith
38,39,"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish
39,40,Thinkin’ Bout Me,Morgan Wallen
40,41,Hard to Love,Lee Brice
41,42,It Ain't Over 'Til It's Over,Lenny Kravitz
42,43,Good Day,Forrest Frank
43,44,A Country Boy Can Survive,"Hank Williams, Jr."
44,45,Save Me (with Lainey Wilson),Jelly Roll
45,46,One Love / People Get Ready,Bob Marley & The Wailers
46,47,Lovin On Me,Jack Harlow
47,48,Devil You Know,Tyler Braden
48,49,Anti-Hero,Taylor Swift
49,50,Spin You Around (1/24),Morgan Wallen
50,51,"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith
51,52,You Are the Reason (Duet Version),Calum Scott & Leona Lewis
52,53,Love Story (Taylor’s Version),Taylor Swift
53,54,There Was Jesus,Zach Williams & Dolly Parton
54,55,Wildflowers and Wild Horses (Single Version),Lainey Wilson
55,56,Watermelon Moonshine,Lainey Wilson
56,57,bury a friend,Billie Eilish
57,58,You’re Losing Me (From The Vault),Taylor Swift
58,59,What I Couldn’t Forget,Drake Milligan
59,60,Lover,Taylor Swift
60,61,Last Night,Morgan Wallen
61,62,Standing Next to You (USHER Remix),Jung Kook & USHER
62,63,You Belong With Me (Taylor’s Version),Taylor Swift
63,64,CARNIVAL,"¥$, Kanye West & Ty Dolla $ign"
64,65,Dance The Night,Dua Lipa
65,66,To Be A Man (feat. Darius Rucker),Dax
66,67,Fly Away,Lenny Kravitz
67,68,Tennessee Whiskey,Chris Stapleton
68,69,Standing Next to You (Usher Remix),Jung Kook & USHER
69,70,As Good As I Once Was,Toby Keith
70,71,Pretty Little Poison,Warren Zeiders
71,72,Karma,Taylor Swift
72,73,Stick Season,Noah Kahan
73,74,23,Chayce Beckham
74,75,EASY,LE SSERAFIM
75,76,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
76,77,The Door,Teddy Swims
77,78,TRUCK BED,HARDY
78,79,We Are the World,U.S.A. for Africa
79,80,You Need To Calm Down,Taylor Swift
80,81,A Symptom Of Being Human,Shinedown
81,82,Bulletproof,Nate Smith
82,83,redrum,21 Savage
83,84,Lead Me Home,Jamey Johnson
84,85,Good Days,SZA
85,86,Unwritten,Natasha Bedingfield
86,87,Dance You Outta My Head,Cat Janice
87,88,Life With You,Kelsey Hart
88,89,Strangers,Kenya Grace
89,90,Everybody (feat. Lil Uzi Vert),Nicki Minaj
90,91,Can't Get Enough,Jennifer Lopez
91,92,Give In to Me,Garrett Hedlund & Leighton Meester
92,93,...Ready For It?,Taylor Swift
93,94,How Do You Like Me Now?!,Toby Keith
94,95,Purple Irises,Gwen Stefani & Blake Shelton
95,96,Tell It To My Heart,Cash Cash & Taylor Dayne
96,97,"We Takin' Over (feat. Akon, T.I., Rick Ross, Fat Joe, Baby & Lil' Wayne)",DJ Khaled
97,98,Used To Be Young,Miley Cyrus
98,99,Heart Like a Truck,Lainey Wilson
99,100,greedy,Tate McRae
